,Tweet,HS_Weak
8097,user mak lambe monyong bajing diam iya lambe monyong dasar goblokkkk uniform resource locator,1
8101,user user cocot kintil,1
8103,diam anjing daniel edan ya,1
8105,user user user tolol sih cal laki,1
8111,user cupu,1
8119,user ya tabok orang,1
8126,user user culun kayak pawai tujuh bas,1
8142,user user user user harga turun 180 derajat otak campur nanah kencing onta sadar woi,1
8148,user men are sampah wkwk jap daler pahal orang cacat,1
8150,user maju anjing nih orang tshi beli haha,1
8154,jabar wakil gubernur konsisten user user user meika agate,1
8158,user anjir paypal anjing banget kena fee nya,1
8161,user keluarga halilintar hem km tau udik,1
8164,user kerja seks komersial tawar gerindra joko wi rakyat kere suruh jual kali bantu,1
8167,user lapor posko juang rakyat dukung user user lapor rawan juang demokrasi organisasi sayap partai demokrasi indonesia juang,1
8170,user user user user user model ceramah nya kayak jancuk silit celeng gus gus,1
8171,user user user cebong ya bau amis,1
8172,asma dewi ciduk alumni 212 dukung anies sandi loyalis prabowo,1
8177,fakta pilih kepala daerah daerah khusus ibukota imbal jasa jamin user dukung anises sandi 2014 narkoba iya candu 1 dukung anies sandi,1
8184,user haha apes menteri media sosial cocok cocot buka kerja apes,1
8186,user user jilbab akhlak pecun ncuihhh,1
8187,user user tipu berani bilang uji allah aduh ampun deh bodoh bin idiot orang,1
8191,user user pret kampret dukung 2019 ganti presiden presiden sapa rocky gerung kafir kah,1
8193,user user iya akun hutang negara pimpin kalah gunung sahari,1
8194,empok silvy nyinyir melulu pe anyaan nya sayang sesat maklum sih dese mak mak devat final daerah khusus ibukota debat final pilih kepala daerah jakarta,1
8199,user user user user user user bambang muka kontol hina ulama gue hajar dasar antek komunis,1
8202,user wajah lihat beloon munafik sok pintar sok suci iblis,1
8206,user telusur cepat pe emuan hatta ali setya novanto pecat hakim sepi main mata,1
8207,user kafir asli menang busa mulut alam nyata cundang oh puja prabowo,1
8211,user anjing najis banget mino jelek,1
8220,user dasar manusia homo,1
8225,urus urus gue hina banget orang,1
8231,user user teman manusia homo heran,1
8234,user user twitter gusur gusur rakyat derita,1
8237,panas terima korban jonru ginting warganet protes korban jokowi,1
8242,user mampus bangkrut bandar,1
8244,mudah mudah gue ketemu sih babi iwan bopeng mungut suara nya anjing ahok,1
8248,itik be elor ayam rami ahok bangun benda mati manusia pas berswafoto dasar anus,1
8249,user user user user user user user user user user user user user user user user user user user user user user user,1
8257,bicara sylvi lihat oke debat ahok sylvi langsung kuat goblok,1
8258,user user viktor agama kristen ancam bunuh orang islam,1
8261,user user oh bera i user mundur boneka,1
8262,user bangsat dah ramah gue,1
8266,bola main lapang main main congor bapuk,1
8271,user admin bahan indonesia cocot otak pnh nafsu kuasa,1
8272,user user haha iya cacat kayak ya otak otak ayam wkwk,1
8279,user user bank dunia otak onta sih dungu malas bego tolol ya onta,1
8280,dunia nafsu ya kang user sayap kayak burung hantu uniform resource locator,1
8284,user najis anjir goblok banget,1
8286,user basi isu user partai komunis indonesia,1
8288,user user user user uang muanas munafik,1
8293,user user user user user user user user indonesia cina,1
8301,senang fan mati lupa bego banget uniform resource locator,1
8302,cerdas susilo bambang yudhoyono undang undang pilih sah a inya calon presiden calon wakil presiden curi stasiun kampanye agus harimurti yudhoyono manfaat user,1
8303,user hobi bodoh orang cerca ngedunguin orang orang enak jidat kacung cebong sok care hak asasi manusia jijik lihat orang panuan penuh panu,1
8305,user user user user user salah dodol wkwk telur murah beli untung mahal beli bela dasar cebong kutuk,1
8311,user ya prabowo ruhut jokowi korban umat islam,1
8314,user user user jokowi jongos luhut,1
8316,user ya ya materi hukum gue susah jurus porsi susah ilmu alam banding banding jurus gue susah borjuis elite bagus alah tai kucing,1
8321,user lihat direct message ah tau gue bolot user,1
8327,user user user pikir tolol,1
8328,user user user user user kontaminasi murid user kasih kaca gerung bro nkl nalar dungu jokowi bicara emas mahal kalajengking,1
8329,user gue doa budek,1
8330,user user lengser dukung sidang istimewa majelis musyawarat rakyat,1
8345,user user user user iya mas inflasi pakai maki tolol dongok super,1
8347,10 emas bicara jaman susilo bambang yudhoyono 3 gelap era jokowi uniform resource locator,1
8361,oi anjir bolot banget gue paham uniform resource locator,1
8362,user user on gue omelin yel tenang orang gila yel orang barang taruh orang bego dongok sinting sarap bajing,1
8364,user user user user user user tolol tulis kayak x8,1
8367,user user mulut busa muncrat haus kuasa kasak kusuk cari salah olah olah congor doang kerja,1
8371,user bajak bacot babi mending gelut,1
8375,jokowi ratu adil turun darah biru darah kotor cina babi uniform resource locator,1
8376,politisasi bahan dunia user user user user,1
8377,ya tau gubernur ngawur nya kayak tai kucing injak baca cerita kayak kes arang bebas anak uniform resource locator,1
8380,dasar bajing bini bujang pelan pelan sakit hancur asa mama ku mama ku pulang ku banting handphone,1
8392,user user totol ketemu tolol,1
8393,ai bangkit paham komunis bangkit tanam rezim,1
8397,ya mbak dewasa beda perilaku perilaku buruk sih cowok berengsek,1
8404,user rugi jonru mas jokowi utang 4000t rakyat garam 400 situ tau,1
8406,user user pe anyaan tolol bukti,1
8412,user mundur user becus urus negeri,1
8418,user user user alamat kerja kasih biar bukti lgbt aka banci kaleng,1
8421,user coba gubernur kafir teriak nih demo haha,1
8422,user bocah geblek penjara,1
8426,user teki onta bang sombong,1
8438,user gue baca bodoh,1
8444,user lihat umar umar ahok amp busuk lantang hina agama,1
8448,user anak cebong kampret polos an cebong kampret tua,1
8449,nama buni yani status dakwa langgar undang undang informasi transaksi elektronik duga dukung anies sandi,1
8456,user user user user berita nya google oh ya atur perintah mudah masuk nya tenaga kerja asing indonesia tenaga kerja asing bantah undang undang dukung x8,1
8458,user aduh aduh nenek tua jahat politik identitas hati buta coba pikir norak kampung nek nek,1
8459,user spill nama restoran gue tinggal papua amp gue harga pangan mahal mbak goblok cacat,1
8463,user user bicara igau,1
8465,mempe ahankan atur presiden risiko berat rezim ahok mukidi presiden dukung investor rakyat sengsara tanggung ancam 9 naga hiiiii,1
8466,user malas banget jodoh upil onta,1
8480,alah bacot anjing antek antek sih user user side tuju alah anjing,1
8483,user pokok pulang solo cebur habitat nya kolam butek,1
8484,benak orang teriak bubar partai komunis indonesia lucu anak jatuh kesandung batu batu salah,1
8487,user user user user user gelar profesor palsu lucu nikmat gelar profesor eh bongkar dosen staf gila keburu cinta ilmu ilmu palsu gendeng,1
8488,user selamat renang kolam cebong,1
8490,user user user user user sahabat bangsat,1
8497,user user user bencong teriak bencong,1
8498,konstitusional hak rakyat woiii plonga plongo laku otoriter,1
8505,user bagas homo kemarin lihat profil grindr,1
8506,mampus kunyuk sembah lembu uniform resource locator,1
8510,user auti auti autis ya banci autis seram lt,1
8511,alumni 212 partai adil sejahtera tim sukses anies sandi ramai ramai buang body kenal asma dewi,1
8516,habib sinting anonim dengar sakit jiwa uniform resource locator,1
8525,user urus urus orang mulut nyinyir kayak banci lekong user,1
8528,jujur era susilo bambang yudhoyono tentara nasional indonesia otoriter,1
8529,user korupsi e kartu tanda duduk jaman susilo bambang yudhoyono tengku uniform resource locator,1
8531,user user lawan play station kalah lawan jokowi,1
8536,pergi mampus,1
8540,user kalem kontol,1
8542,niat elegan puisi tampil norak amp dungu bangga budaya indonesia serang agama kampung uniform resource locator,1
8545,rokok bro gue rokok men ah banci rokok eh lihat banci rokok kali eh iya,1
8548,user sih ahok kutil babi,1
8555,user setan,1
8562,cewek cakap bego laku sih ahok cina bau tai makan bubur encer ahok paham komunis nista islam kristen,1
8572,user kuasa orang tua anak kelas polisi republik indonesia berani proses demo mati polisi hina presiden adek ayem,1
8575,user baca gue tau loud bani kopar kafir kocak goblok nalar bejat,1
8578,user prabowo panik prabowo babi buta erang elite politik goblok mental maling,1
8583,gue baju a gaji mesti demo minggu minggu presiden enak bikin atur presiden tenaga kerja asing b putus hubung kerja anggur tenaga asing enak c ganti pres,1
8584,user user user nasib indonesia derita pimpin jokowi,1
8588,matanajwadebatjaka a lucu banget ahok sambung kena sekak mat pe anyaan isu agama dasar cina tolol haha,1
8594,user cacat cacat cacat sih,1
8598,user woiii kampret geli gue lihat belaga orang songong penci jidat ha,1
8601,user pilih anis sandi pilih sih nista agama pecah negara republik indonesia,1
8604,user keluarga cebong kuadrat cewek jil sesat ls hoaks,1
8607,user user user anjing hina rebut jabat k e b o h o a natural killer e b o h o a natural killer e b o h o a nuser nuser,1
8614,user user user cebong dongok ya wkwk,1
8618,user user user curiga uang 1 enam triliun biaya kampanye pilih presiden budiono wakil presiden detik detik mugkin kelumit mantan presiden wakil kena hukum alias kebal hukum,1
8621,user user cebong amuk deh kolam butek,1
8629,user cebong nge i,1
8632,user sarkas bego sih,1
8633,cium jokowi tajam cari uang ups salah utang uang,1
8637,user jokowi tai anjing,1
8641,kelompok hasil kapital gatot gue duga ketiban momentum bowo kelompok cikeas jokowi,1
8649,user cewek gila sinting freak,1
8655,user radio lihat ya bolot,1
8658,user user user user sarap nih orang,1
8661,user alah sombong punuk onta,1
8662,gue enek urus orang tau dasar cewek alay,1
8665,user pilih agus sylvi anak susilo bambang yudhoyono keluarga koruptor blusukan ahok jemaah coblos peci u2026,1
8667,user user user user muka monyet,1
8668,user orang gila,1
8669,user user user user user user user user goblok rizieq tukang bikin onar wajar orang muak siang teriak takbir malam chat mesum munafik bikin orang bodoh kayak istri,1
8673,user user iya pakai kendara jablay,1
8676,user user wkwk gue bencong,1
8678,user user user user user user jokowi takut kalah 2019 takut kedok nya jual aset asing,1
8679,user nama bule laku idiot bela sih malu ya anjing bayar sekolah mending comberan bayar maju jual biji kunyuk,1
8681,user user haha ujung ujung maaf culun ngopilaaaaaaah,1
8688,user user 2019 boomerang user mulut user,1
8695,rejim jokowi otoriter paksa banget pakai non tunai,1
8702,tunggu gera nya badan eksekutif mahasiswa ri henti calon jokowi presiden,1
8703,user user user user user user user user bikin lini pakai bahasa onta sok pakai bahasa kafir nuser,1
8717,user ih bangsat,1
8718,user user user user user user gue ajar tanggap guru guru gue bego doniiii anak tk pintar kali anak tk anjing anjing suruh lolong time li,1
8729,user user user hebat ya bilang munafik cermin,1
8733,rezim otoriter jokowi pro partai komunis indonesia anti islam,1
8735,user udik bfjgfdg nge i bocah,1
8737,user user jujur bacot apes gue sanggup kerja sempurna menteri ha bacot doang biangkerok ah apes,1
8754,user ha mangkrak korupsi komisi jalan aman jaman susilo bambang yudhoyono,1
8757,megawati tugas ai santai bu marah marah 2019 ganti bu tenang,1
8760,user user user jokowi tes dna tes dna bukti nya turun partai komunis indonesia,1
8765,jokowi mundur kursi presiden,1
8772,janji indah rakyat terenyuh sayang janji fakta bohong ri pimpin tipu rakyat,1
8776,user user ah cebong,1
8779,1 periode blangsak,1
8780,user onta sekar,1
8782,user user turun perhati perintah rakyat akibat anggur tenaga kerja asing masuk rugi rakyat tolong insfrastruktur urus butuh bahan pokok,1
8785,maaf dewan hormat sadar suka serang pribadi presiden user sumpah tepuk jidat ya hati,1
8786,ahok kafir umat islam anti ahok ahok kafir ahok cina suka makan babi bir,1
8789,mundur pilih presiden 2019 dagang kampung padang pariaman jaman jokowi nih ekonomi payah 1,1
8790,jokowi sadar turun jabat lengser rakyat malu front bela islam mati,1
8799,sahabat kayak tai,1
8801,user user user user user user user nih manusia idiot bicara lantur pikir ajar dasar goblok sok pintar,1
8803,user eh perek gue hiatus tai,1
8806,user user fokus lari hutang coba cek anggar belanja negara alokasi menteri menteri uang debat kena hutang anonim,1
8808,user mata low picek t lt,1
8810,kentut wi jokowi dusta bohong utang diktator otoriter kampung,1
8818,salah rakyat sepenuh proksi asing asing kuasa jaka a negara salah presiden user gelap mata ambisi politik proksi asing asing kuasa,1
8819,direktur riset median o jokowi duduk posisi mayoritas warga pimpin indonesia pinjam toa mutlak,1
8824,dukung prabowo surat pemberitahuan arb sda orang orang bejat tabiat kasar masuk orang user,1
8827,presiden kampret haha,1
8828,user user user user bicara sarap ketawa ketawa obat habis,1
8829,user seungmin idiot,1
8832,user kafir suka bilang kopar kafir,1
8848,user user setan,1
8850,user bilang mencla mencle bos nya user user uniform resource locator,1
8852,user user cebong akurrr,1
8855,buka busuk kubu anies sandi menang berkah uniform resource locator,1
8856,user lupa laku prabowo era soekarno lari uniform resource locator,1
8862,user prabowo lolos jerat hukum anggota tim mawar jatuh hukum pidana penjara dkp user,1
8865,congor sesuai isi hati user silaturahmi alumni 212 tuju umur haha umur kuasa munafik,1
8869,bukti ahok jokowi presiden dukung kembang adon politic id politic id,1
8873,sih teman gue rebut babi,1
8876,user calon presiden jokowi pasang susilo bambang yudhoyono gue pilih jokowi tamat puncak 2019,1
8883,user tolak kader partai adil sejahtera ya bro bacot nyinyir santai bro broken hea bera i broken hope tunggu patah hati massal bareng cebong kolam,1
8887,user cerdas negara hancur bukti susilo bambang yudhoyono peduli nasib bangsa,1
8894,user user wkkkk tampar jokowi antek bodoh,1
8897,user user satria udik,1
8907,narkoba bahaya ilusi suci ahok sang nista,1
8909,user serius rezim anti islam suka jokowi ajak umat islam benci jokowi uniform resource locator,1
8913,user he banget,1
8918,leluhur ratna sarumpaet prabowo gera hidup,1
8920,user user user user user pura pura tolol dungu pe pilih presiden junjung mu butuh suara salam indonesia raya user,1
8923,user cocot,1
8925,user user gue rela sih tua renta bokong alias barzagli pensiun,1
8929,hidup the jack hidup bobotoh rezim jokowi musnah 2019,1
8931,citra tonjol rezim diktator jokowi bela media bangun opini,1
8939,user user periksa bohong,1
8942,tua sadar user nafsu jabat 4 diam ban serep peran ulama kriminalisasi diam polisi tebang pilih diam ekonomi hancur diam tenaga kerja asing cina serbu ri diam uniform resource locator,1
8943,user cupu ih,1
8948,user iya suka suka bangsat,1
8949,user oh dasar bajing,1
8954,user mampus kunyuk,1
8960,user follow sompret,1
8964,mulut user umbar kerja negeri muas,1
8978,user main twitter mulu goblok,1
8987,video ahok hina agama kristen agama konyol,1
8988,user dasar gila,1
8989,user user cebong pakai seragam biar eh lihat dungu,1
9001,kejam jejak digital politikus user user narkoba uniform resource locator,1
9005,user bangsat ya,1
9011,user makan bacot pikir pakai otak hati akal pikir duit keluarga hasil tabung be ahun2 nyata keluarga tipu abu tours goblok tolol pilih,1
9012,user user user h h h pikir orang bego cetak inflasi negara buah kanjeng mas,1
9013,user wkwk sih bego ngamuk ngamuk anies ya anies bikin dolar 14500 bikin harga bmm listrik sembako pajak bikin hutang ri gunung tenaga kerja asing cina bikin ekonomi lorot anies bikin umat islam,1
9014,rezim anti islam uniform resource locator,1
9017,manusia anjing mati mati rela mu adz babi ahok kafir uniform resource locator,1
9021,user user user tolol jongos nista agama ahok nyalon haha dukung intoleransi sih ahok cari umat muslim,1
9025,user user percaya susah presiden percaya fatwa nabi palsu,1
9028,user haha te ipu onta arab,1
9029,user susilo bambang yudhoyono 10 gila,1
9034,user kerja orang kentir jabat lihat jaga aman mantan presiden bingung nyata rakyat sengsara,1
9036,djarot pikir rakyat pribumi babu cina cina songong jongkok,1
9038,user kasar bacot anjing,1
9039,user user user user kasar hadap sih berengsek berisik hadap kerja ilmu biar dungu sepe i sih onta busuk posisi bagus bagus be ingkah busuk sampah gurun sepe i,1
9042,isu 5000 pucuk senjata saran user pecat tito,1
9044,user user user bicara sepe i ya gelar nista agama laku frame jokowi bebas halal,1
9049,baju habibie prabowo presiden dalang rusuh 98 banget dalang rusuh sara,1
9052,user cocot,1
9062,user susilo bambang yudhoyono sayang rakyat gabung bang kubu prabowo cape rezim,1
9063,user user user musibah berkah daerah khusus ibukota pimpin kocak kuadrat ky teriak teriak pribumi anti asing ujung asing asing puja diam kaveling surga dukung e,1
9064,user nada asing koplo bela sih nista agama durjana suruh orang aji,1
9067,lunatsarsky pikir komunis kenal singkir cinta peluk benci ajar benci kuasa dunia,1
9071,user setan,1
9073,user user nalar goblok lulus sih koreksi bijak perintah omong deh akun ajar omong akun sontoloyo,1
9077,user user lamun jokowi presiden angelus eta bandara paham tau tolol pelihara,1
9078,user user wakil gubernur 1 tingkah laku pakai kayak anak orang jabat perintah stres kali nih orang,1
9081,user user bikin reklamasi kunjung duit cukong junjung user setop eh bilang sipit songong,1
9082,mbak sylviana please sehat,1
9084,user user user user user spirit mata bibir tipis kayak silit bacot jual kerja becus daerah khusus ibukota amburadul keparat,1
9085,caci maki 7 juta 10 juta lengser jokowi coba salah jokowi,1
9087,user user twitter dukung hak hak lgbt user kaca kaca congor harap jaga,1
9088,sinting banget nih orang uniform resource locator,1
9089,haha anggota dewan wakil rakyat palsu kasihan laku bubar komisi berantas korupsi status wtp ayo pilih palsu,1
9093,saking mundur orang kayak jokowi presiden mundur nyata betapa orang bodoh negeri,1
9094,user budek,1
9098,user cewek pakai kerudung ya kali konferensi pers citra islami kali haha,1
9104,user babi anjing mampus kalah jatuh miskin deh,1
9110,user user sedih kepala polisi republik indonesia sih takut banget dahhh duduk user,1
9118,user bajing presiden,1
9119,kecewa on silvy malu fitnah ahok panas sekak mat,1
9121,user salah pilih sial salah lucu sial lucu user,1
9124,kelumit lemah binasa komisi berantas korupsi hasil imbas lengser jokowi ganti pimpin pro korupsi,1
9127,user user user wow jilat hina habib syafaat bonggg cucu baginda nabi hina hina,1
9137,user user user user cebong bang akut komentar nomor wahid literasi valid dungu,1
9138,user tidur kampang,1
9141,user banci banget anjing mantan,1
9146,user user user haha goblok kecebong tertawa ketawa rekening bego,1
9148,usaha lengser jokowi tangkap makar polisi takut ya,1
9151,user stigma babi milik tuhan sih ahok kafir,1
9156,sadar rezim neo komunis bangkit,1
9161,user jiah media sosial lantang lae kasih debat culun plonga plongo,1
9164,dasar sarap,1
9170,user solusi haha dana haji ambil infrastruktur duit badan selenggara jamin sosial buruh ambil rakyat peras solusi goblok jilat tolol,1
9173,sih mae mental perang nya keren teel minggat nyungsep layan gue cebong tetes wkwk modar dadak,1
9181,nasib ulama indonesia sedih surat pemberitahuan rohingya kritik makar masuk sel rezim jahat anti islam diktator,1
9182,user sok tau tai cicak,1
9186,user user user anjir cebong dungu belaga keren sok nasehat user,1
9189,bicara joko beras impo uniform resource locator,1
9199,user user nyata khianat bangsa,1
9203,user alah drama banget bangsat,1
9204,user user wajar ip puji jokowi gubernur presiden gue kader partai adil sejahtera paksa puji jokowi ayo gabung,1
9211,user x sangka bodoh pikir orang wanita islam jijik oke,1
9212,program modal bacot doang,1
9213,user selamat ya kampret merah iya kampret,1
9218,nak lihat istana seberang doa ayah rakyat nak moga pimpin tinggal pulang kampung halaman tinggal,1
9221,haha tangkap tangkap ya jokowi uniform resource locator,1
9223,sombong jomlo menang gue user dasar manusia homo,1
9230,demo jilid jilid polisi periksa sih busuk,1
9243,mampus salah,1
9253,user user cebong kayak dongok abadi nasiiib nasib,1
9254,nyata tenaga ilegal tenaga kerja asing rambah pelosok nusantara masuk ntb waspada waspada uniform resource locator,1
9262,lengser jokowi dodo aman tentram negeri,1
9264,sih kutil babi leceh pribumi umat islam iklan ahok jahat,1
9272,ajar pakai hati lihat hati nalar mati,1
9273,otak ya pakai mbak tolol,1
9274,user user cebong otak buntu juta rakyat indonesia bingung cari ganti jokowi,1
9275,expect lepas tangan kerja lecturer ape lancau sial cina nih,1
9281,user ahok korban gubernur senyum penuh menang bau busuk anyir simbah nanah luka sara cenderung cuci tangan,1
9286,user user user bacot kampang,1
9290,user suciwati munir percaya jokowi bicara doang uniform resource locator uniform resource locator,1
9291,user user user rakyat peluk mundur jokowi,1
9293,user iya bencong idiot surat pemberitahuan pakai foto asli,1
9296,user user pipis onta lihat wajah,1
9299,user user user user iya camil tai onta sih,1
9301,prabowo berantas tindas muslim lihat banget adil pimpin bilang berantas tindas agama,1
9309,pilih kepala daerah daerah khusus ibukota 2017 dengung agama pilih presiden dengung ganti presiden takjil label ganti presiden dasar munafik,1
9314,presiden impor banget wajib,1
9315,user rakyat lauk puluh ribu pakai telur paruh puluh ribu puluh ribu bajing gendut tai hidup berkah,1
9319,bodoh pancasila undang undang dasar 45 tap majelis musyawarat rakyat no 25 final partai komunis indonesia larang kecebong rayu rayu presiden atur perintah ganti undang undang,1
9327,user tai sih nih orang,1
9336,geblek tanda ya wkwk,1
9338,user user user ya gue balas sakit jiwa ettt laki banci uniform resource locator,1
9344,user kangen gue edan,1
9346,babi iya sih ahok kayak babi,1
9347,user film tayang spoiler bacot anjing,1
9350,user iya klarifikasi deny hantam dasar kutuk,1
9351,user tolak reklamasi mari tuntut user batal reklamasi via user uniform resource locator,1
9355,user bani bahlul kumpul,1
9365,user insyaallah,1
9369,user user aparat keparat,1
9377,eh tai bangsat omong kayak iwan bopeng potong leher tentara nasional indonesia bangsat iwan bopeng tentara nasional indonesia tai,1
9379,user user user hebat ya jokowi idola menteri muda malaysia kampret amp onta cibir prestasi presiden,1
9380,indonesia lawyers club user islam sok debat user ai dukung nista agama nurani user user user user user user user user,1
9386,user berisik makan autis,1
9390,user heran lihat pintar bani onta lihat b go nya,1
9396,user user indonesia bangun hambalang teror reklamasi cina meika a lancar aman,1
9397,bicara ahok imajinasi tinggal tunggu lantik gubernur baur sara anies sandiaga uno oktober 2017,1
9401,user jokowi takut kalah 2019 promo kumpul tipu andal wakwawww,1
9416,user monyet ahok tutup bukti langgar anies tutup alexis izin t,1
9421,adik maling kerja maling mati maling anak haram kontol,1
9424,user anjing gatel sok jual mahal banget asuuuuuuuuuuuuu,1
9426,user user haha pikir pintar berak sekebun tertawa sok iya banget goblok makan tai ahok pakai ngeles dasar cebong kafir intoleran sara munafik goblok haha,1
9428,user user user user user user user user user user user user user user aneh dungu pelihara,1
9433,presiden muka doang sok rakyat sok asyik motor batang bijak cekik rakyat miskin kaum buruh semangaattt,1
9436,dukung deh ahok dukung rakyat paham cerdas bual pimpin uniform resource locator,1
9438,user jokowi presiden indonesia mundur,1
9444,bayang asa mbak memberitahu beliau disabilitas balas mati bajing,1
9445,orang indonesia bicara orang indonesia bahasa arab tifatul,1
9450,user pintar sih empati korban bom sepe inya bodoh amp cemar,1
9454,user hina kiai nu bilang jalan nu hina ahok ajak gabung ahok antum mabuk kencing onta ya saudara,1
9457,user user user user user wkwk sih mantan ustad indonesia lawyers club lihat goblok sadar dunia maya sakit perut gue lihat nya,1
9465,user salah jokowi uniform resource locator,1
9468,gera sistem otoriter kritik sesal user otoriter,1
9469,hasil susilo bambang yudhoyono kuasa 10 proyek mangkrak korupsi uniform resource locator,1
9471,geblek ya jam gin ajak canda gue kerja pikir detail,1
9473,jokowi diktator ramah antek cina bilang lindung negara republik indonesia hati bubar protes bilang bantu rohingya bantu eh citra,1
9475,user user gincu berani dasar banci,1
9492,pribumi kristen dukung ahok anti manusia manusia bodoh goblok sepe i steven hadisurya sulistyo,1
9496,user ahok nista agama olok olok surat al almaidah 51 cc user,1
9499,user heran asli burik,1
9500,menang anies sandi bahu orang orang kena hukum fitnah,1
9501,sih kutil babi leceh pribumi umat islam,1
9514,user jaaaaaaancuuuuuuuk lips service bani onta,1
9515,maksud sih citra daya kesan,1
9518,user user ketua cebong pintar tau modal link kik kik kik s3 lo,1
9528,pertamina rugi garuda rugi usaha listrik negara rugi kau rugi badan usaha milik negara rugi rugi rakyat indonesia pimpin orang dungu rugi massal,1
9531,user user user user user user user user user user user sunat titit kalah anjing ahok hehe,1
9534,user rakyat indonesia juta cari ganti jokowi bingung otak buntu nih cebong,1
9538,user manusia homo anjir,1
9545,anies foto ahok bera i nista agama uniform resource locator,1
9548,sabar tunggu 2019 kebelet ya prabowo,1
9549,panitia khusus dewan wakil rakyat hak angket divestasi freepo buta divestasi freepo skema kredit perban modus keruk rente rezim logistik pilih presiden kaya oknum kuasa,1
9559,polisi selidik asma kait sih anies sandi kait ramai nih gubernur hasil sebar benci uniform resource locator,1
9565,berengsek anjirittt siaaaaallllllll benciiiiiiiiiiiiiiiiiiiii jahaaaaaaaaaaatttttttt,1
9566,ahok cipta bara api rakyat pribumi tionghoa balut fobia ahok kafir racist,1
9570,bicara sylvi lihat oke debat ahok sylvi langsung kuat goblok,1
9573,user menang anies sandi batal hukum,1
9575,user bangsat kuadrat ya,1
9579,user admin dendam admin tolol,1
9580,user sa upil onta,1
9581,user mungut orang tampang cebong ulama muda,1
9583,user rakyat indonesia lihat azab poltak mulut bangkai pelihara,1
9586,klaim bani bong toleran pancasilais bineka aktivis islamis yaelah dasar tutup botol penyok,1
9591,besok prabowo calon presiden teriak teriak indonesia percaya ya pakai isu sara nih,1
9593,sih banci bikin sensasi nih uniform resource locator,1
9594,user jabat bikin kampung anies sandi user rusuh kerja orang,1
9595,jahat anak orang haha kali jahat anak orang suparji ribu kali jahat titit sinting ya,1
9604,user calon calon marah bos langsung resign cupu,1
9608,user cebong kacung dungu tulang rusuk,1
9617,user user user user rapi jaka a sakit hati pura pura diam calon presiden pikir asing,1
9618,user tai banget dit,1
9619,lae ferdinan cocok jokowi lengser trotoar jalan seruduk lo,1
9621,jelek berengsek mampus,1
9626,user user mesti fahri hamzah kasih kerja bawa tas presiden cocok iya user,1
9627,user user haha tulang orang batak tulang manusia orang batak kali luhut binsar panjaitan orang batak orang tionghoa sesat batak mu,1
9635,user user perintah sepele intelektualitas rakyat,1
9636,pikir ngilu sumpek push rank kalah anjing,1
9640,kader user fitnah jokowi antek komunis contoh user tau main isu partai komunis indonesia uniform resource locator,1
9641,user user user kodrat pecun dang pintar cari alas,1
9646,berengsek wondo joni bahas pekan tonton cctv,1
9649,user user bilang anjir potong batal,1
9650,user user user agama bilang kafir kafir korupsi peluk islam korupsi bilang oknum dasar bau busuk mulut,1
9653,user user mampus user,1
9656,user kampung banget,1
9657,user tawar mulu onta,1
9658,antena ulang gue jilat prabowo tau jokowi keok 2019 uniform resource locator,1
9662,jokowi pimpin buruk sih raja utang ahli citra maling kampung jago bohong opresif anak partai komunis indonesia jongos cina komunis,1
9665,maksud bukti korupsi nista agama nya ya om bangsat tai maaf gue pakai bahasa babi ahok,1
9667,user user dasar cebong angkat mati,1
9674,akun neopki komunis ateis berani muncul bak jamur musim hujan rezim jokowi rezim ya miris,1
9680,indonesia mundur pimpin jokowi uniform resource locator,1
9685,user user mampus iya marah hyung 13 gue wkwk,1
9686,user user tumben om ustaz on nooopst bawang asing x ya,1
9687,user antek asing komunis kapitalis,1
9690,universitas negeri padjadjaran kritik prabowo jokowi blunder user user uniform resource locator,1
9693,kabur ulama jama ah ya tembak gas air mata arah ulama jama ah babi buta ya diam ulama fitnah teror habis an ya,1
9695,user user hayo ayo bajing,1
9697,besok prabowo calon presiden teriak teriak negara republik indonesia harga mati percaya ya,1
9698,user iya anjir bolot budek,1
9703,user jokowi ahok hater dukung prabowo,1
9705,user eh oi rakyat susah sih zon teman dewan wakil rakyat situ waras oi makan micin,1
9706,tahan paksa tuduh beda keri rezim jokowi uniform resource locator,1
9707,user user user user bangsa cebong bangga kaos logo paham kampret bangga,1
9712,user user bani kampret dungu kontrak stop sanggup gaji ribu karyawan nya sanggup beli alat super canggih gali emas ujung nya iya perintah,1
9714,user user user user kecoa ya kayak rem septic tank bacot doang congor sih joko,1
9723,user user user user user user user user user user user kampret kecoa hidup makan tai bikin sakit x8,1
9726,gue curiga ahok kalah pilih kepala daerah konspirasi biar duduk jaka a pindah meika a gubernur kompeten,1
9732,user user manusia homo teriak manusia homo,1
9735,bacot banget sih kunyuk user bikin sayang ah uniform resource locator,1
9736,target turun presiden isu sih wakil ganti inti jokowi konglomerat hitam tiarap peluang,1
9741,iya anak berontak perintah revolusioner republik indonesia juang rakyat semesta ya prabowo uniform resource locator,1
9742,aduh sih cebong empati empati nih teman,1
9743,user user user tuak bera i berengsek,1
9746,user user cari buka main salah bela idiot,1
9747,5 habis benci anies sandi,1
9749,user presiden user salah salah presiden mundur bapaaaak,1
9753,user ustad bilang jancuk mata picek bilang,1
9757,user user user model munafik main sara rakyat indonesia waras hasut pengaruh ganti presiden,1
